,PU_datetime,DO_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long
61,2012-03-01 00:06:55,2012-03-01 00:19:09,1.9,40.73141124499994,-73.98238628799993,40.76267135909888,-74.00439976203513
62,2012-03-01 00:32:34,2012-03-01 00:52:36,5.0,40.75532984899993,-73.99117738199989,40.777944498577085,-73.93290347544752
63,2012-03-01 00:02:00,2012-03-01 00:08:00,1.38,40.76489773199991,-73.97255352299985,40.76489773199991,-73.97255352299985
64,2012-03-01 00:06:21,2012-03-01 00:11:13,1.3,40.78768560599987,-73.97501417199996,40.7987185259999,-73.95953658899997
65,2012-03-01 00:13:52,2012-03-01 00:20:43,1.6,40.81429809399993,-73.95707738499995,40.78768560599987,-73.97501417199996
66,2012-03-01 00:30:17,2012-03-01 00:33:02,0.8,40.75532984899993,-73.99117738199989,40.75519332399994,-73.9712170449999
67,2012-03-01 00:26:50,2012-03-01 00:39:13,3.0,40.71913288399984,-73.97635525199995,40.74044408899989,-74.00201937799989
68,2012-03-01 00:44:30,2012-03-01 01:01:57,8.4,40.73490456699995,-73.98996936399989,40.74407171799994,-73.86768504899995
69,2012-03-01 00:11:37,2012-03-01 00:28:07,4.7,40.77301984499992,-73.95218621999996,40.72582128133706,-73.97177410965318
70,2012-03-01 00:39:16,2012-03-01 01:00:26,5.1,40.72755978299991,-73.99136388099987,40.68403405199995,-73.91741294299997
71,2012-03-01 00:04:23,2012-03-01 00:09:21,1.6,40.74044408899989,-74.00201937799989,40.750451608999896,-73.98729377099981
72,2012-03-01 00:14:45,2012-03-01 00:19:30,1.1,40.7552996949999,-73.97534377999993,40.74542088999988,-73.99096832799995
73,2012-03-01 00:24:16,2012-03-01 00:37:06,3.0,40.75551634599986,-73.98362433299988,40.78285908899991,-73.94383256699986
74,2012-03-01 00:46:55,2012-03-01 00:55:43,2.4,40.78768560599987,-73.97501417199996,40.75519332399994,-73.9712170449999
