Event Type,Create Time,Close Time,Latitude,Longitude
Concert,2012-07-16 08:54:31,2012-07-19 11:11:00,40.81,-74.06
Concert,2012-07-16 08:52:43,2012-07-24 10:48:00,40.81,-74.06
Special event,2012-07-16 08:51:26,2012-07-22 08:17:00,40.81,-74.06
Hockey game,2012-07-11 05:47:30,2012-12-12 09:53:00,40.73,-74.17
Hockey game,2012-07-11 05:44:39,2012-12-12 09:52:00,40.73,-74.17
Hockey game,2012-07-11 05:35:40,2012-11-01 07:28:00,40.73,-74.17
Hockey game,2012-07-11 05:28:39,2012-11-01 07:29:00,40.73,-74.17
Hockey game,2012-07-11 05:18:20,2012-11-01 07:28:00,40.73,-74.17
Hockey game,2012-07-11 05:17:07,2012-11-01 07:29:00,40.73,-74.17
Hockey game,2012-07-11 05:15:42,2012-11-01 07:29:00,40.73,-74.17
Hockey game,2012-07-11 05:13:01,2012-10-24 08:34:00,40.73,-74.17
Hockey game,2012-07-11 05:02:31,2012-11-01 07:28:00,40.73,-74.17
Basketball game,2012-07-10 09:51:28,2012-12-22 03:17:00,40.75,-73.98
Concert,2012-07-10 09:49:40,2012-11-15 06:09:00,40.75,-73.98
Wrestling,2012-07-10 09:46:15,2012-11-15 06:09:00,40.75,-73.98
Basketball game,2012-07-10 09:35:31,2012-12-09 04:18:00,40.75,-73.98
Concert,2012-07-10 09:33:24,2012-11-03 11:17:00,40.75,-73.98
Concert,2012-07-10 09:31:59,2012-11-29 10:19:00,40.75,-73.98
Concert,2012-07-10 09:29:45,2012-11-15 06:09:00,40.75,-73.98
Hockey game,2012-07-10 09:27:54,2012-11-24 11:18:00,40.75,-73.98
Concert,2012-07-10 09:26:10,2012-11-15 06:09:00,40.75,-73.98
Basketball game,2012-07-10 09:24:24,2012-11-16 09:18:00,40.75,-73.98
Concert,2012-07-10 09:20:20,2012-11-13 11:18:00,40.75,-73.98
Fair,2012-06-05 10:57:49,2012-07-09 12:16:00,40.83,-74.07
Fair,2012-06-05 10:51:11,2012-07-01 02:26:00,40.83,-74.07
Soccer game,2012-06-01 12:22:37,2012-07-22 10:47:00,40.82,-73.92
Soccer game,2012-06-01 12:15:19,2012-08-08 11:48:00,40.82,-73.92
Concert,2012-05-29 04:22:24,2012-06-24 10:19:00,40.81,-74.06
Concert,2012-05-29 04:20:26,2012-06-23 10:17:00,40.81,-74.06
Wrestling,2012-05-29 03:49:29,2012-06-17 11:03:00,40.81,-74.06
Graduation ceremonies,2012-05-29 03:40:25,2012-06-08 01:17:00,40.81,-74.06
Graduation ceremonies,2012-05-29 03:37:19,2012-06-04 09:56:00,40.81,-74.06
Concert,2012-05-29 03:35:18,2012-06-03 09:49:00,40.81,-74.07
Special event,2012-05-29 03:33:36,2012-06-03 11:20:00,40.81,-74.06
Hockey game,2012-05-26 05:41:09,2012-06-09 11:17:00,40.73,-74.17
Concert,2012-05-18 01:06:36,2012-05-20 11:19:00,40.8,-74.08
Hockey game,2012-05-13 12:30:26,2012-05-21 11:18:00,40.73,-74.17
Hockey game,2012-05-13 12:25:30,2012-05-16 11:19:00,40.75,-73.98
Concert,2012-05-08 08:21:24,2012-10-09 11:19:00,40.75,-73.98
Concert,2012-05-08 08:20:18,2012-10-07 10:49:00,40.78,-73.98
Concert,2012-05-08 08:19:01,2012-10-06 11:18:00,40.78,-73.98
Concert,2012-05-08 08:17:07,2012-10-05 11:17:00,40.75,-73.98
Concert,2012-05-08 08:15:41,2012-10-05 10:16:00,40.78,-73.98
Concert,2012-05-08 08:12:49,2012-09-29 11:16:00,40.78,-73.98
Concert,2012-05-08 08:10:53,2012-09-21 11:19:00,40.78,-73.98
Concert,2012-05-08 08:09:42,2012-09-20 11:17:00,40.75,-73.98
Concert,2012-05-08 08:08:31,2012-09-15 11:18:00,40.78,-73.98
Concert,2012-05-08 08:07:31,2012-09-19 08:47:00,40.78,-73.98
Concert,2012-05-08 08:02:32,2012-09-04 10:48:00,40.78,-73.98
Concert,2012-05-08 08:00:52,2012-09-02 11:16:00,40.78,-73.98
Concert,2012-05-08 07:59:45,2012-08-30 11:18:00,40.78,-73.98
Concert,2012-05-08 07:58:27,2012-08-22 11:17:00,40.78,-73.98
Concert,2012-05-08 07:57:20,2012-08-02 11:18:00,40.78,-73.98
Concert,2012-05-08 07:56:04,2012-07-24 11:19:00,40.78,-73.98
Concert,2012-05-08 07:54:59,2012-06-18 11:17:00,40.78,-73.98
Concert,2012-05-08 07:53:00,2012-07-02 11:18:00,40.78,-73.98
Concert,2012-05-08 07:52:02,2012-06-29 11:17:00,40.78,-73.98
Concert,2012-05-08 07:50:23,2012-06-27 11:18:00,40.78,-73.98
Concert,2012-05-08 07:48:37,2012-06-24 02:14:08,40.78,-73.98
Concert,2012-05-08 07:47:12,2012-06-21 11:18:00,40.78,-73.98
Show,2012-05-08 07:46:00,2012-06-17 01:17:00,40.78,-73.98
Concert,2012-05-08 07:43:05,2012-06-15 11:18:00,40.78,-73.98
Show,2012-05-08 07:41:40,2012-09-02 10:18:00,40.75,-73.98
Show,2012-05-08 07:31:50,2012-07-31 11:17:00,40.75,-73.98
Show,2012-05-08 07:25:20,2012-06-30 06:18:00,40.75,-73.98
Show,2012-05-08 07:20:47,2012-06-30 11:18:00,40.75,-73.98
Concert,2012-05-08 07:13:32,2012-05-26 11:18:00,40.78,-73.98
Concert,2012-05-08 07:11:33,2012-05-23 11:17:00,40.78,-73.98
Concert,2012-05-08 07:10:29,2012-05-22 11:17:00,40.78,-73.98
Concert,2012-05-08 07:09:13,2012-05-21 11:18:00,40.78,-73.98
Concert,2012-05-08 07:06:58,2012-05-19 11:17:00,40.78,-73.98
Concert,2012-05-08 07:05:32,2012-05-09 11:18:00,40.78,-73.98
Concert,2012-05-08 07:03:36,2012-05-08 11:17:00,40.75,-73.98
Basketball game,2012-05-08 07:02:26,2012-05-10 05:46:00,40.75,-73.98
Hockey game,2012-05-08 06:58:07,2012-05-12 06:18:00,40.75,-73.98
Kids show/performance,2012-03-29 11:29:40,2012-04-22 06:46:00,40.81,-74.06
