Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
special event,NY Yankees,Yankee Stadium,,,,NY,08/31/2010 06:59:33 AM,08/31/2010 10:19:46 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Oakland A's until 10:05 PM,"TRANSCOM, Jersey City",40.82,-73.92
special event,Madison Square Garden,Madison Square Garden,,,,NY,08/31/2010 06:49:11 AM,08/31/2010 10:35:40 AM,Madison Square Garden: Special event on Madison Square Garden the Arena (Manhattan)  Justin Bieber until 10 PM,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Yankees,Yankee Stadium,,,,NY,08/30/2010 06:52:17 AM,08/30/2010 09:54:53 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Oakland A's,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Mets,Citi Field,,,,NY,08/29/2010 12:59:47 PM,08/29/2010 03:53:41 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Houston Astros until at least 4:10pm,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Mets,Citi Field,,,,NY,08/28/2010 06:57:30 AM,08/28/2010 10:11:52 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Houston Astros from 7:10pm until 10:10pm,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Mets,Citi Field,,,,NY,08/27/2010 06:56:42 AM,08/27/2010 10:32:08 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Houston Astros until 10 pm,"TRANSCOM, Jersey City",40.75,-73.84
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/27/2010 06:47:35 AM,08/27/2010 10:32:08 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  pre-season game Washington Redskins vs NJ Jets until 10 p.m.,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Mets,Citi Field,,,,NY,08/26/2010 06:58:43 AM,08/26/2010 10:25:40 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Florida Marlins until 10 p.m.,"TRANSCOM, Jersey City",40.75,-73.84
football game,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/25/2010 11:41:57 AM,09/26/2010 03:30:27 AM,"Meadowlands Complex: Football game Meadowlands Sports Complex at Giants Stadium (East Rutherford) Urban League Classic/Howard vs. Morgan State,  Saturday September 25th, 3:30 PM thru 6:30 PM","TRANSCOM, Jersey City",40.81,-74.08
kids show/performance,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/25/2010 11:39:13 AM,10/01/2010 12:32:36 PM,"Meadowlands Complex: Kids show/performance Meadowlands Sports Complex at Arena (East Rutherford) Sesame Street Live: Elmo's Healthy Heroes,  Thursday September 30th, 7:00 PM thru 9:00 PM","TRANSCOM, Jersey City",40.8,-74.07
special event,NY Mets,Citi Field,,,,NY,08/25/2010 06:58:55 AM,08/25/2010 09:48:25 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Florida Marlins until 10:10 PM,"TRANSCOM, Jersey City",40.75,-73.84
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/24/2010 07:22:26 AM,08/24/2010 07:23:13 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Arena (East Rutherford)  Tom Petty & The Heartbreakers from 7:30 pm until 10:30 pm,"TRANSCOM, Jersey City",40.8,-74.07
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/24/2010 07:22:12 AM,08/24/2010 10:25:05 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Arena (East Rutherford)  Tom Petty & The Heartbreakers untiol 10:30 p.m.,"TRANSCOM, Jersey City",40.8,-74.07
special event,NY Mets,Citi Field,,,,NY,08/24/2010 06:59:25 AM,08/24/2010 10:23:33 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Florida Marlins until 10 p.m.,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Yankees,Yankee Stadium,,,,NY,08/22/2010 12:56:48 PM,08/22/2010 05:41:48 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  New York Yankees vs Seattle Mariners,"TRANSCOM, Jersey City",40.82,-73.92
special event,Madison Square Garden,Madison Square Garden,,,,NY,08/22/2010 03:44:54 AM,08/22/2010 06:59:35 AM,Madison Square Garden: Special event on Madison Square Garden at the Arena (Manhattan)  NY Liberty vs. Connecticut Sun until 7 PM,"TRANSCOM, Jersey City",40.75,-73.98
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,08/21/2010 06:49:45 AM,08/21/2010 10:04:33 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  pre-season game Pittsburgh Steelers vs NY Giants,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Yankees,Yankee Stadium,,,,NY,08/21/2010 01:10:31 AM,08/21/2010 04:07:34 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Seattle Mariners,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,08/20/2010 07:05:55 AM,08/20/2010 10:09:56 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Seattle Mariners until 10 p.m.,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,08/19/2010 12:58:35 PM,08/19/2010 04:15:16 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  New York Yankees vs Detroit Tigers,"TRANSCOM, Jersey City",40.82,-73.92
